Info:2020-05-28 22:40:38,868 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:40:40,004 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:40:53,547 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:43:46,147 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:43:49,907 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:43:51,042 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:43:51,070 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:43:51,226 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 22:43:51,241 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:43:51,312 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 22:43:51,327 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:43:51,378 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:43:55,944 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:43:59,375 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:44:00,610 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:44:00,768 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:44:00,918 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 22:44:00,933 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:44:01,007 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 22:44:01,022 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:44:01,076 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:44:01,676 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 22:44:04,715 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:46:31,700 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:46:35,376 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:46:36,523 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:46:36,549 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:46:36,691 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 22:46:36,703 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:46:36,778 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 22:46:36,794 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:46:36,846 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:46:41,415 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:46:45,457 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:46:46,577 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:46:46,604 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:46:46,754 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 22:46:46,770 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:46:46,846 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 22:46:46,860 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:46:46,911 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:46:47,521 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 22:46:50,925 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:53:24,161 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:53:27,848 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:53:29,015 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:53:29,081 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:53:29,262 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 22:53:29,277 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:53:29,359 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 22:53:29,375 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:53:29,428 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:53:35,074 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
